5,Телевизор Samsung QE55Q60BAUXUA,televizor-samsung-qe55q60bauxua,"Миллиард оттенков цвета благодаря технологии квантовых точек
100% цветовой объем благодаря технологии квантовых точек
Технология квантовых точек обеспечивает очень высокое качество изображения. Благодаря 100% объему цвета, технология квантовых точек преобразует свет в потрясающую цветовую палитру, качество цветопередачи при этом остается высоким при любом уровне яркости.

Оптимизированная подсветка для повышения контрастности
Технология двойной подсветки Dual LED
Инновационная технология подсветки обеспечивает более четкую и точную контрастность за счет оптимизации цветового тона подсветки в соответствии с типом просматриваемого контента.

Более широкий диапазон контрастности
Технология Quantum HDR
Технология Quantum HDR позволяет выявить мельчайшие детали изображения и обеспечить оптимальную контрастность, чтобы вы получили максимальное удовольствие от просмотра каждой сцены. Технология динамического мэппинга HDR10+, характеристики которого превышают требования обычных стандартов, позволяет создавать более глубокие оттенки черного, более естественную цветопередачу и улучшенную детализацию.",public/images/product/tv_2_001_1669918913.jpg,29900.00,1,125,https://via.placeholder.com/640x480,2022-12-01 20:08:15,2022-12-01 20:22:15,,2,1
6,Мобильный телефон Nokia С21 Plus 3/32 Dark Cyan,mobilnyi-telefon-nokia-s21-plus-332-dark-cyan,"Экран (6.517"", IPS, 1600x720) / Unisoc SC9863A (1.6 ГГц + 1.2 ГГц) / двойная основная камера: 13 Мп + 2 Мп, фронтальная 5 Мп / RAM 3 ГБ / 32 ГБ встроенной памяти + microSD (до 256 ГБ) / 3G / LTE / GPS / поддержка 2х SIM-карт (Nano-SIM) / Android 11 / 4000 мА*ч",public/images/product/phone_1_001_1669919687.jpg,4670.00,2,1001,https://via.placeholder.com/640x480,2022-12-01 20:34:47,2022-12-01 20:34:47,,1,2
7,Зарядное устройство Promate Voltrip-Duo 17 Вт 2 USB,zariadnoe-ustroistvo-promate-voltrip-duo-17-vt-2-usb,"Voltrip-Duo – идеальное решение для тех, кто не использует Quick Charge, но хочет заряжать свой гаджет максимально быстро и эффективно в автомобиле.

Особенности:

2 через 1: Заряжай 2 устройства одновременно на суммарной мощности до 17 Вт (5 В, 3.4 А).
USB 2.4A: Гарантирует максимальную скорость зарядки для устройств, не оборудованных технологией Quick Charge 3.0.
Технология адаптивной зарядки: Автоматически подберет оптимальный и безопасный уровень мощности, в зависимости от вашего устройства.
Безопасность: Voltrip-Duo оснащен чипом Smart IC, который защищает от перегрева, скачков напряжения, короткого замыкания и чрезмерной зарядки вашего гаджета.
Надёжная фиксация: В прикуривателях разных типов, благодаря пружинным фиксаторам на корпусе.
Лаконичный дизайн: Компактный размер и корпус под карбон, устройство займет минимум места и с легкостью впишется в интерьер вашего авто.",public/images/product/111_1669919880.jpg,346.00,3,23,https://via.placeholder.com/640x480,2022-12-01 20:38:00,2022-12-01 23:10:52,,3,3
17,Телевизор Toshiba 32WA2063DG,televizor-toshiba-32wa2063dg,"Отличное изображение
Формат поддерживаемый телевизором, подарит вам отличную детализацию и четкость картинки. Получите новые ощущения от просмотра ваших любимых телепередач и кинофильмов.

HDMI
Современный мультемедийный интерфейс HDMI для передачи несжатого потока аудио и видео данных. По одному кабелю возможна передача несжатого цифрового видео и многоканального звука со скоростью намного выше, чем позволяли все предыдущие варианты подключения. Одиночный кабель значительно упрощает процесс установки домашних развлекательных систем и гарантирует наилучшее качество изображения и воспроизведения звука.",public/images/product/tv_3_001_1674490533.jpg,8001.00,123,1234,https://via.placeholder.com/640x480,2023-01-23 17:36:08,2023-01-23 20:04:06,,2,4
18,Зарядное устройство Grand-X CH-15B,zariadnoe-ustroistvo-grand-x-ch-15b,"Зарядное устройство Grand-X 5V 2.1A USB Black (CH-15) с защитой от перегрузки

Xарактеристики:

Входное напряжение: 220 В
Выходное напряжение: 5 В
Выходной ток: 2.1A
Размер: 85 х 35 х 22 мм
Вес: 35 г",public/images/product/zu_1_001_1674501865.jpg,135.00,14,11,https://via.placeholder.com/640x480,2023-01-23 20:29:32,2023-01-23 21:24:25,,3,1
19,Телевизор Philips 32PFS6805/12,televizor-philips-32pfs680512,"Philips предлагает качественное изображение в совокупности с такими преимуществами как насыщенность цвета, яркость и четкость. Благодаря отличной картинке ваши любимые телепрограммы и фильмы предстанут перед в совершенно новом свете. Все это заключено в элегантный тонкий корпус. Сядьте поудобнее, расслабьтесь и смотрите телевизор с наилучшим качеством изображения.",public/images/product/tv_4_001_1674503986.jpg,8999.00,16,17,https://via.placeholder.com/640x480,2023-01-23 21:26:56,2023-01-23 21:59:46,,2,5
20,Мобильный телефон Nokia G10 3/32GB,mobilnyi-telefon-nokia-g10-332gb,"Экран (6.5"", IPS 1600x720) / MediaTek Helio G25 (2.0 ГГц) / тройная основная камера: 13 Мп + 2 Мп + 2 Мп, фронтальная 8 Мп / RAM 3 ГБ / 32 ГБ встроенной памяти + microSD (до 512 ГБ) / 3G / LTE / GPS / поддержка 2х SIM-карт (Nano-SIM) / Android 11 / 5050 мА*ч",public/images/product/phone_2_001_1674504243.jpg,4499.00,1,12,https://via.placeholder.com/640x480,2023-01-23 22:04:03,2023-01-23 22:04:03,,1,2
